index,seed,mae,mae2,mse,rmse,Test Accuracy,AR,Precision,Recall,F1_score
JSWENERGY,7,1.4031382498429643,0.019033254947479095,3.4930245461395173,1.8689634951329352,49.749,32.89,0.5076923076923077,0.6470588235294118,0.5689655172413793
JSWSTEEL,1,6.358867528657205,0.021189655377044668,179.8130471500934,13.40943873359707,55.022,-4.47,0.5611510791366906,0.65,0.6023166023166023
JUBLFOOD,3,18.11387214494064,0.01606273303312328,616.302768323992,24.825445984392548,55.022,27.37,0.58,0.6850393700787402,0.6281588447653429
JUSTDIAL,1,20.91472385354238,0.04118100668672628,9346.279234070722,96.67615649202611,54.795,6.08,0.543859649122807,0.5688073394495413,0.5560538116591929
KOTAKBANK,10,11.25890404313933,0.009775883331499733,231.50717325729516,15.215359780737858,50.218,10.54,0.5892857142857143,0.4925373134328358,0.5365853658536586
KSCL,8,8.952439460754398,0.016759150099430072,135.351319264781,11.634058589537059,51.875,23.57,0.5168539325842697,0.575,0.544378698224852
KTKBANK,9,2.143888688399802,0.01607399726758879,8.114933642259082,2.848672259537605,54.585,-38.65,0.5309734513274337,0.5405405405405406,0.5357142857142857
L&TFH,5,2.8219387106699485,0.016411783404217343,13.612957548106847,3.689574168939669,49.772,-23.01,0.45977011494252873,0.8333333333333334,0.5925925925925926
LICHSGFIN,5,7.017030674297216,0.012883265100006352,85.86743684073141,9.266468412547006,53.712,-30.28,0.5080645161290323,0.5833333333333334,0.5431034482758621
LT,1,13.777924143695426,0.010647351677568601,340.08987963162167,18.441525957241762,51.528,-8.22,0.5252525252525253,0.4482758620689655,0.48372093023255813
LUPIN,5,13.100490360176721,0.015296749568661316,584.347774352048,24.173286378811795,55.459,-3.64,0.5542857142857143,0.8016528925619835,0.6554054054054054
M&M,4,12.665065981935726,0.015821927412489414,253.11680914185126,15.90964516077751,53.275,10.01,0.6774193548387096,0.32558139534883723,0.4397905759162304
M&MFIN,4,10.22810927478507,0.021950583608319953,180.88756269264132,13.449444698300422,54.585,-0.01,0.581081081081081,0.3706896551724138,0.45263157894736844
MARUTI,6,82.06852611558404,0.009202604339719714,12173.327307446616,110.33280249973993,56.332,6.6,0.5379310344827586,0.7027027027027027,0.609375
MINDTREE,3,18.212835724659456,0.021481499199373096,808.3124731611308,28.4308366595345,56.41,65.08,0.5978260869565217,0.5339805825242718,0.5641025641025641
MOTHERSUMI,2,4.735115841596556,0.014215593687316605,37.43262571948099,6.118220796888666,52.821,-7.79,0.514018691588785,0.5789473684210527,0.5445544554455445
MRF,3,747.3639465065502,0.01032761803574574,1071002.2970576887,1034.8924084452879,56.769,-0.88,0.5631067961165048,0.5178571428571429,0.5395348837209303
NHPC,9,0.3309240316199423,0.01210907254279819,0.20495248524346293,0.4527167825953252,51.965,-2.9,0.4491525423728814,0.5408163265306123,0.49074074074074076
NMDC,6,1.8305482289676593,0.014976297200974396,5.987547006674062,2.446946465837384,48.035,8.65,0.5045045045045045,0.4666666666666667,0.4848484848484848
NTPC,4,1.935859153780875,0.011477950806796491,6.569648913198709,2.563132636676984,50.655,0.05,0.4803921568627451,0.44954128440366975,0.46445497630331756
OFSS,4,45.84805092624178,0.011680261477599919,3747.326606614693,61.21541151225476,53.712,-3.74,0.5915492957746479,0.35294117647058826,0.4421052631578948
OIL,9,3.0124611918131508,0.013541053257201969,15.46067397046554,3.9320063543266994,51.875,-20.64,0.5061728395061729,0.5256410256410257,0.5157232704402517
ONGC,8,2.1552300199150523,0.012033389724954425,7.773315048886048,2.7880665431237555,53.712,8.21,0.5068493150684932,0.6851851851851852,0.5826771653543307
ORIENTBANK,10,2.3275847255923345,0.023000047558993233,12.896290489782212,3.591140555559224,45.852,-17.43,0.4318181818181818,0.76,0.5507246376811594
